stage4_index,dataset_group,dataset_name,source_file,source_row,record_id,name,origin_smiles,taut_smiles,rt,formula,inchikey,canonical_smiles,taut_changed,taut_fallback,taut_reason,smrt_exact_overlap
13,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,13,Cao_HILIC_116_13,,Oc1ncnc2[nH]cnc12,O=c1[nH]cnc2[nH]cnc12,472.8,C5H4N4O,FDGQSTZJBFJUBT-UHFFFAOYSA-N,Oc1ncnc2[nH]cnc12,1.0,0,ok,0
14,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,14,Cao_HILIC_116_14,,NC(CCO)C(=O)O,NC(CCO)C(=O)O,756.0,C4H9NO3,UKAUYVFTDYCKQA-UHFFFAOYSA-N,NC(CCO)C(=O)O,0.0,0,ok,0
15,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,15,Cao_HILIC_116_15,,O=c1c2ccccc2oc2ccccc12,O=c1c2ccccc2oc2ccccc12,73.2,C13H8O2,JNELGWHKGNBSMD-UHFFFAOYSA-N,O=c1c2ccccc2oc2ccccc12,0.0,0,ok,0
16,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,16,Cao_HILIC_116_16,,NC(Cc1c[nH]c2ccccc12)C(=O)O,NC(Cc1c[nH]c2ccccc12)C(=O)O,606.0,C11H12N2O2,QIVBCDIJIAJPQS-UHFFFAOYSA-N,NC(Cc1c[nH]c2ccccc12)C(=O)O,0.0,0,ok,0
17,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,17,Cao_HILIC_116_17,,CCC(C)C(N)C(=O)O,CCC(C)C(N)C(=O)O,582.0,C6H13NO2,AGPKZVBTJJNPAG-UHFFFAOYSA-N,CCC(C)C(N)C(=O)O,0.0,0,ok,0
18,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,18,Cao_HILIC_116_18,,COc1ccc2[nH]cc(CCN)c2c1,COc1ccc2[nH]cc(CCN)c2c1,573.6,C11H14N2O,JTEJPPKMYBDEMY-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN)c2c1,0.0,0,ok,0
19,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,19,Cao_HILIC_116_19,,c1cnc2[nH]ccc2c1,c1cnc2[nH]ccc2c1,104.4,C7H6N2,MVXVYAKCVDQRLW-UHFFFAOYSA-N,c1cnc2[nH]ccc2c1,0.0,0,ok,0
20,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,20,Cao_HILIC_116_20,,CN(C)c1ccc(C=CC=O)cc1,CN(C)c1ccc(C=CC=O)cc1,70.19999999999999,C11H13NO,RUKJCCIJLIMGEP-UHFFFAOYSA-N,CN(C)c1ccc(C=CC=O)cc1,0.0,0,ok,0
21,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,21,Cao_HILIC_116_21,,CC(C)CC(N)C(=O)O,CC(C)CC(N)C(=O)O,570.0,C6H13NO2,ROHFNLRQFUQHCH-UHFFFAOYSA-N,CC(C)CC(N)C(=O)O,0.0,0,ok,0
22,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,22,Cao_HILIC_116_22,,CC(N)C(=O)O,CC(N)C(=O)O,726.0,C3H7NO2,QNAYBMKLOCPYGJ-UHFFFAOYSA-N,CC(N)C(=O)O,0.0,0,ok,0
23,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,23,Cao_HILIC_116_23,,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,521.4,C19H22N2O,KMPWYEUPVWOPIM-UHFFFAOYSA-N,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,0.0,0,ok,0
24,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,24,Cao_HILIC_116_24,,O=C(CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CO,O=C(CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CO,757.1999999999999,C12H22O11,RULSWEULPANCDV-UHFFFAOYSA-N,O=C(CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CO,0.0,0,ok,0
25,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,25,Cao_HILIC_116_25,,NC(CS)C(=O)O,NC(CS)C(=O)O,712.8000000000001,C3H7NO2S,XUJNEKJLAYXESH-UHFFFAOYSA-N,NC(CS)C(=O)O,0.0,0,ok,0
26,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,26,Cao_HILIC_116_26,,CC(O)C(=O)O,CC(O)C(=O)O,447.0,C3H6O3,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,CC(O)C(=O)O,0.0,0,ok,0
27,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,27,Cao_HILIC_116_27,,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N=C(C)O)CC2,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,81.60000000000001,C22H25NO6,IAKHMKGGTNLKSZ-UHFFFAOYSA-N,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N=C(C)O)CC2,1.0,0,ok,0
28,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,28,Cao_HILIC_116_28,,N=C(N)NCCCC(N)C(=O)O,N=C(N)NCCCC(N)C(=O)O,958.2,C6H14N4O2,ODKSFYDXXFIFQN-UHFFFAOYSA-N,N=C(N)NCCCC(N)C(=O)O,0.0,0,ok,0
29,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,29,Cao_HILIC_116_29,,O=C(O)C1CCCN1,O=C(O)C1CCCN1,624.0,C5H9NO2,ONIBWKKTOPOVIA-UHFFFAOYSA-N,O=C(O)C1CCCN1,0.0,0,ok,0
30,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,30,Cao_HILIC_116_30,,NCCCCC(N)C(=O)O,NCCCCC(N)C(=O)O,954.0,C6H14N2O2,KDXKERNSBIXSRK-UHFFFAOYSA-N,NCCCCC(N)C(=O)O,0.0,0,ok,0
31,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,31,Cao_HILIC_116_31,,N=C(O)CC(N)C(=O)O,NC(=O)CC(N)C(=O)O,792.0,C4H8N2O3,DCXYFEDJOCDNAF-UHFFFAOYSA-N,N=C(O)CC(N)C(=O)O,1.0,0,ok,0
32,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,32,Cao_HILIC_116_32,,CN1C=C[C](c2ccccc2)c2ccccc21,CN1C=C[C](c2ccccc2)c2ccccc21,721.8,C16H14N,SGHLBZUPSFVYKK-UHFFFAOYSA-N,CN1C=C[C](c2ccccc2)c2ccccc21,0.0,0,ok,0
33,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,33,Cao_HILIC_116_33,,CN1CC(O)=NC1=N,Cn1cc(O)nc1N,592.1999999999999,C4H7N3O,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN1CC(O)=NC1=N,1.0,0,ok,0
34,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,34,Cao_HILIC_116_34,,N=c1nc(O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,682.8000000000001,C19H19N7O6,OVBPIULPVIDEAO-UHFFFAOYSA-N,N=c1nc(O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,1.0,0,ok,0
35,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,35,Cao_HILIC_116_35,,NC(CCC(=O)O)C(=O)O,NC(CCC(=O)O)C(=O)O,768.0,C5H9NO4,WHUUTDBJXJRKMK-UHFFFAOYSA-N,NC(CCC(=O)O)C(=O)O,0.0,0,ok,0
36,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,36,Cao_HILIC_116_36,,Nc1ccc(C(=O)NCC(=O)O)cc1,Nc1ccc(C(=O)NCC(=O)O)cc1,340.2,C9H10N2O3,HSMNQINEKMPTIC-UHFFFAOYSA-N,Nc1ccc(C(=O)NCC(=O)O)cc1,0.0,0,ok,0
37,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,37,Cao_HILIC_116_37,,NC(CC(=O)O)C(=O)O,NC(CC(=O)O)C(=O)O,813.6,C4H7NO4,CKLJMWTZIZZHCS-UHFFFAOYSA-N,NC(CC(=O)O)C(=O)O,0.0,0,ok,0
38,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,38,Cao_HILIC_116_38,,NC(Cc1ccccc1)C(=O)O,NC(Cc1ccccc1)C(=O)O,565.8,C9H11NO2,COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(Cc1ccccc1)C(=O)O,0.0,0,ok,0
39,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,39,Cao_HILIC_116_39,,CC(C)C(N)C(=O)O,CC(C)C(N)C(=O)O,630.0,C5H11NO2,KZSNJWFQEVHDMF-UHFFFAOYSA-N,CC(C)C(N)C(=O)O,0.0,0,ok,0
40,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,40,Cao_HILIC_116_40,,NC(Cc1cnc[nH]1)C(=O)O,NC(Cc1c[nH]cn1)C(=O)O,939.0,C6H9N3O2,HNDVDQJCIGZPNO-UHFFFAOYSA-N,NC(Cc1cnc[nH]1)C(=O)O,1.0,0,ok,0
41,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,41,Cao_HILIC_116_41,,NC(Cc1ccc(O)cc1)C(=O)O,NC(Cc1ccc(O)cc1)C(=O)O,672.0,C9H11NO3,OUYCCCASQSFEME-UHFFFAOYSA-N,NC(Cc1ccc(O)cc1)C(=O)O,0.0,0,ok,0
42,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,42,Cao_HILIC_116_42,,NC(CCC(=O)O)C(=O)O,NC(CCC(=O)O)C(=O)O,771.0,C5H9NO4,WHUUTDBJXJRKMK-UHFFFAOYSA-N,NC(CCC(=O)O)C(=O)O,0.0,0,ok,0
43,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,43,Cao_HILIC_116_43,,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,558.0,C27H30O16,IKGXIBQEEMLURG-UHFFFAOYSA-N,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,0.0,0,ok,0
44,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,44,Cao_HILIC_116_44,,Nc1ccccc1C(=O)CC(N)C(=O)O,Nc1ccccc1C(=O)CC(N)C(=O)O,585.6,C10H12N2O3,YGPSJZOEDVAXAB-UHFFFAOYSA-N,Nc1ccccc1C(=O)CC(N)C(=O)O,0.0,0,ok,0
45,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,45,Cao_HILIC_116_45,,CN(C)Cc1ccccc1,CN(C)Cc1ccccc1,452.4,C9H13N,XXBDWLFCJWSEKW-UHFFFAOYSA-N,CN(C)Cc1ccccc1,0.0,0,ok,0
46,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,46,Cao_HILIC_116_46,,O=C(O)c1cc(O)c2cccc(O)c2n1,O=C(O)c1cc(=O)c2cccc(O)c2[nH]1,572.4,C10H7NO4,FBZONXHGGPHHIY-UHFFFAOYSA-N,O=C(O)c1cc(O)c2cccc(O)c2n1,1.0,0,ok,0
47,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,47,Cao_HILIC_116_47,,C(=NC1CCCCC1)=NC1CCCCC1,C(=NC1CCCCC1)=NC1CCCCC1,65.4,C13H22N2,QOSSAOTZNIDXMA-UHFFFAOYSA-N,C(=NC1CCCCC1)=NC1CCCCC1,0.0,0,ok,0
48,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,48,Cao_HILIC_116_48,,C1COCCN1,C1COCCN1,622.1999999999999,C4H9NO,YNAVUWVOSKDBBP-UHFFFAOYSA-N,C1COCCN1,0.0,0,ok,0
49,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,49,Cao_HILIC_116_49,,CC(N)(CO)CO,CC(N)(CO)CO,761.4,C4H11NO2,UXFQFBNBSPQBJW-UHFFFAOYSA-N,CC(N)(CO)CO,0.0,0,ok,0
50,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,50,Cao_HILIC_116_50,,O=C(O)c1ccc2ccccc2n1,O=C(O)c1ccc2ccccc2n1,114.0,C10H7NO2,LOAUVZALPPNFOQ-UHFFFAOYSA-N,O=C(O)c1ccc2ccccc2n1,0.0,0,ok,0
51,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,51,Cao_HILIC_116_51,,CSCCC(N)C(=O)O,CSCCC(N)C(=O)O,619.8,C5H11NO2S,FFEARJCKVFRZRR-UHFFFAOYSA-N,CSCCC(N)C(=O)O,0.0,0,ok,0
52,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,52,Cao_HILIC_116_52,,O=C(O)c1cccnc1,O=C(O)c1cccnc1,141.0,C6H5NO2,PVNIIMVLHYAWGP-UHFFFAOYSA-N,O=C(O)c1cccnc1,0.0,0,ok,0
53,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,53,Cao_HILIC_116_53,,Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,471.0,C17H20N4O6,AUNGANRZJHBGPY-UHFFFAOYSA-N,Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,1.0,0,ok,0
54,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,54,Cao_HILIC_116_54,,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,425.4,C21H24O10,IOUVKUPGCMBWBT-UHFFFAOYSA-N,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,0.0,0,ok,0
55,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,55,Cao_HILIC_116_55,,NC(Cc1ccc(O)c(O)c1)C(=O)O,NC(Cc1ccc(O)c(O)c1)C(=O)O,763.8000000000001,C9H11NO4,WTDRDQBEARUVNC-UHFFFAOYSA-N,NC(Cc1ccc(O)c(O)c1)C(=O)O,0.0,0,ok,0
56,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,56,Cao_HILIC_116_56,,N=c1nc(O)c2nc[nH]c2[nH]1,Nc1nc(=O)c2[nH]cnc2[nH]1,588.6,C5H5N5O,UYTPUPDQBNUYGX-UHFFFAOYSA-N,N=c1nc(O)c2nc[nH]c2[nH]1,1.0,0,ok,0
57,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,57,Cao_HILIC_116_57,,O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,830.4,C10H13N4O8P,GRSZFWQUAKGDAV-UHFFFAOYSA-N,O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,1.0,0,ok,0
58,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,58,Cao_HILIC_116_58,,N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,Nc1nc(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,636.0,C10H13N5O5,NYHBQMYGNKIUIF-UHFFFAOYSA-N,N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,1.0,0,ok,0
59,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,59,Cao_HILIC_116_59,,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,550.8,C10H12N4O5,UGQMRVRMYYASKQ-UHFFFAOYSA-N,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,1.0,0,ok,0
60,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,60,Cao_HILIC_116_60,,N=c1ccnc(O)[nH]1,Nc1cc[nH]c(=O)n1,624.6,C4H5N3O,OPTASPLRGRRNAP-UHFFFAOYSA-N,N=c1ccnc(O)[nH]1,1.0,0,ok,0
61,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,61,Cao_HILIC_116_61,,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,393.0,C15H10O7,YXOLAZRVSSWPPT-UHFFFAOYSA-N,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,0.0,0,ok,0
62,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,62,Cao_HILIC_116_62,,Oc1nc(O)c2nc[nH]c2n1,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,497.4,C5H4N4O2,LRFVTYWOQMYALW-UHFFFAOYSA-N,Oc1nc(O)c2nc[nH]c2n1,1.0,0,ok,0
63,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,63,Cao_HILIC_116_63,,N=C(N)NCC(=O)O,N=C(N)NCC(=O)O,768.6,C3H7N3O2,BPMFZUMJYQTVII-UHFFFAOYSA-N,N=C(N)NCC(=O)O,0.0,0,ok,0
64,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,64,Cao_HILIC_116_64,,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,466.8,C10H13N5O4,OIRDTQYFTABQOQ-UHFFFAOYSA-N,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0.0,0,ok,0
65,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,65,Cao_HILIC_116_65,,NCCCCC(=O)O,NCCCCC(=O)O,643.2,C5H11NO2,JJMDCOVWQOJGCB-UHFFFAOYSA-N,NCCCCC(=O)O,0.0,0,ok,0
66,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,66,Cao_HILIC_116_66,,CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,450.6,C27H32O14,DFPMSGMNTNDNHN-UHFFFAOYSA-N,CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,0.0,0,ok,0
67,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,67,Cao_HILIC_116_67,,NCCc1c[nH]c2ccccc12,NCCc1c[nH]c2ccccc12,591.5999999999999,C10H12N2,APJYDQYYACXCRM-UHFFFAOYSA-N,NCCc1c[nH]c2ccccc12,0.0,0,ok,0
68,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,68,Cao_HILIC_116_68,,COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC,COc1ccc(Cc2cnc(N)nc2N)cc1OC,534.6,C13H16N4O2,LDBTVAXGKYIFHO-UHFFFAOYSA-N,COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC,1.0,0,ok,0
69,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,69,Cao_HILIC_116_69,,CC(OP(=O)(O)O)C(N)C(=O)O,CC(OP(=O)(O)O)C(N)C(=O)O,871.1999999999999,C4H10NO6P,USRGIUJOYOXOQJ-UHFFFAOYSA-N,CC(OP(=O)(O)O)C(N)C(=O)O,0.0,0,ok,0
70,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,70,Cao_HILIC_116_70,,NC(CCS)C(=O)O,NC(CCS)C(=O)O,663.6,C4H9NO2S,FFFHZYDWPBMWHY-UHFFFAOYSA-N,NC(CCS)C(=O)O,0.0,0,ok,0
71,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,71,Cao_HILIC_116_71,,CSCCC(N)C(=O)O,CSCCC(N)C(=O)O,613.8000000000001,C5H11NO2S,FFEARJCKVFRZRR-UHFFFAOYSA-N,CSCCC(N)C(=O)O,0.0,0,ok,0
72,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,72,Cao_HILIC_116_72,,NC(CS)C(=O)O,NC(CS)C(=O)O,709.8,C3H7NO2S,XUJNEKJLAYXESH-UHFFFAOYSA-N,NC(CS)C(=O)O,0.0,0,ok,0
